Datum,FeiertageD,BrueckentageD
2013-01-01,1,0
2013-03-29,1,0
2013-03-31,1,0
2013-04-01,1,0
2013-05-01,1,0
2013-05-09,1,0
2013-05-10,0,1
2013-05-19,1,0
2013-05-20,1,0
2013-10-03,1,0
2013-10-04,0,1
2013-10-31,1,0
2013-12-25,1,0
2013-12-26,1,0
2013-12-27,0,1
2014-01-01,1,0
2014-04-18,1,0
2014-04-20,1,0
2014-04-21,1,0
2014-05-01,1,0
2014-05-02,0,1
2014-05-29,1,0
2014-05-30,0,1
2014-06-08,1,0
2014-06-09,1,0
2014-10-03,1,0
2014-10-31,1,0
2014-12-25,1,0
2014-12-26,1,0
2015-01-01,1,0
2015-01-02,0,1
2015-04-03,1,0
2015-04-05,1,0
2015-04-06,1,0
2015-05-01,1,0
2015-05-14,1,0
2015-05-15,0,1
2015-05-24,1,0
2015-05-25,1,0
2015-10-03,1,0
2015-10-31,1,0
2015-12-25,1,0
2015-12-26,1,0
2016-01-01,1,0
2016-03-25,1,0
2016-03-27,1,0
2016-03-28,1,0
2016-05-01,1,0
2016-05-05,1,0
2016-05-06,0,1
2016-05-15,1,0
2016-05-16,1,0
2016-10-03,1,0
2016-10-31,1,0
2016-12-25,1,0
2016-12-26,1,0
2017-01-01,1,0
2016-04-14,1,0
2016-04-16,1,0
2016-04-17,1,0
2017-05-01,1,0
2017-05-25,1,0
2017-05-26,0,1
2017-06-04,1,0
2017-10-02,0,1
2017-06-05,1,0
2017-10-03,1,0
2017-10-31,1,0
2017-12-25,1,0
2017-12-26,1,0
