Feature,Coefficient
Temperatur,-1.3184926845077072
Bewoelkung,-2.5728244160526206
Windgeschwindigkeit,-1.8739109368471756
Tag_im_Jahr_sin,12.066951941120717
Tag_im_Jahr_cos,-28.109959070388147
Monat_sin,-16.061753519440146
Monat_cos,12.135651560161909
Wochentag_sin,-18.592068330085432
Wochentag_cos,2.925889025649224
feiertag,4.767757062789834
KielerWoche,6.3706633821573195
brueckentag,1.3502576782821285
BW,2.965574470871564
BY,0.8208134151484879
B,-2.7853804297454547
BB,2.390651754802635
HB,-0.744334133140603
HH,5.638007354428734
HE,0.11694824466927173
MV,9.895214744948731
NI,-0.744334133140603
NW,6.048981700033501
RP,8.214192260362822
SL,-2.6426400030557455
SN,2.565606297455155
ST,5.294123872003502
SH,-2.033608545380424
TH,3.84693423746879
VPI_brot_getreide,-2.171785908840719
VPI_molkerei_ei,0.48362591112054815
VPI_speiseoel_fett,-4.084668859757435
VPI_Obst,-4.475911634778417
VPI_zucker_suesses,-3.3978411414495353
EPI_teig,-2.2205935219137456
EPI_wasser,-8.196315685849425
EPI_strom,8.649920065160472
EPI_fernwaerme,2.5530378483068166
Wettercode_0,0.0
Wettercode_1,0.0
Wettercode_2,0.0
Wettercode_3,0.0
Wettercode_4,0.0
Wettercode_5,0.0
Wettercode_6,0.0
Wettercode_7,0.0
Wettercode_8,0.0
Wettercode_9,0.0
Wettercode_10,0.0
Wettercode_11,0.0
Wettercode_12,0.0
Wettercode_13,0.0
Wettercode_14,0.0
Wettercode_15,0.0
Wettercode_16,0.0
Wettercode_17,0.0
Wettercode_18,0.0
Wettercode_19,0.0
Wettercode_20,0.0
Wettercode_21,0.0
Wettercode_22,0.0
Wettercode_23,0.0
Wettercode_24,0.0
Wettercode_25,0.0
Wettercode_26,0.0
Wettercode_27,0.0
Wettercode_28,0.0
Wettercode_29,0.0
Wettercode_30,0.0
Wettercode_31,0.0
Wettercode_32,0.0
Wettercode_33,0.0
Wettercode_34,0.0
Wettercode_35,0.0
Wettercode_36,0.0
Wettercode_37,0.0
Wettercode_38,0.0
Wettercode_39,0.0
Wettercode_40,0.0
Wettercode_41,0.0
Wettercode_42,0.0
Wettercode_43,0.0
Wettercode_44,0.0
Wettercode_45,0.0
Wettercode_46,0.0
Wettercode_47,0.0
Wettercode_48,0.0
Wettercode_49,0.0
Wettercode_50,0.0
Wettercode_51,0.0
Wettercode_52,0.0
Wettercode_53,0.0
Wettercode_54,0.0
Wettercode_55,0.0
Wettercode_56,0.0
Wettercode_57,0.0
Wettercode_58,0.0
Wettercode_59,0.0
Wettercode_60,0.0
Wettercode_61,0.0
Wettercode_62,0.0
Wettercode_63,0.0
Wettercode_64,0.0
Wettercode_65,0.0
Wettercode_66,0.0
Wettercode_67,0.0
Wettercode_68,0.0
Wettercode_69,0.0
Wettercode_70,0.0
Wettercode_71,0.0
Wettercode_72,0.0
Wettercode_73,0.0
Wettercode_74,0.0
Wettercode_75,0.0
Wettercode_76,0.0
Wettercode_77,0.0
Wettercode_78,0.0
Wettercode_79,0.0
Wettercode_80,0.0
Wettercode_81,0.0
Wettercode_82,0.0
Wettercode_83,0.0
Wettercode_84,0.0
Wettercode_85,0.0
Wettercode_86,0.0
Wettercode_87,0.0
Wettercode_88,0.0
Wettercode_89,0.0
Wettercode_90,0.0
Wettercode_91,0.0
Wettercode_92,0.0
Wettercode_93,0.0
Wettercode_94,0.0
Wettercode_95,0.0
Wettercode_96,0.0
Wettercode_97,0.0
Wettercode_98,0.0
Wettercode_99,0.0
Wettercode_Unbekannt,0.0
Warengruppe_1,-72.08648248512365
Warengruppe_2,217.17252251052847
Warengruppe_3,-29.278837334630257
Warengruppe_4,-103.85939593522015
Warengruppe_5,87.46814389452712
Warengruppe_6,-99.41595065009258
Wochentag_0,-20.329653153466555
Wochentag_1,-2.6304683725651694
Wochentag_2,7.5588842127329725
Wochentag_3,1.9716762527635177
Wochentag_4,-18.95898196465399
Wochentag_5,11.56083390066907
Wochentag_6,20.827709124511475
